"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2024","61,692.9","60,826.6","61,847.7","60,647.1","23.75K","1.42%"
"05/11/2024","60,826.6","60,796.8","61,487.5","60,499.3","27.50K","0.05%"
"05/10/2024","60,796.9","63,074.3","63,454.3","60,251.8","79.33K","-3.61%"
"05/09/2024","63,075.0","61,207.3","63,413.3","60,671.4","64.22K","3.05%"
"05/08/2024","61,207.5","62,304.9","62,997.4","60,894.2","56.47K","-1.78%"
"05/07/2024","62,317.7","63,163.1","64,361.0","62,294.1","59.74K","-1.34%"
"05/06/2024","63,163.1","64,005.8","65,448.8","62,730.7","77.68K","-1.32%"
"05/05/2024","64,006.4","63,897.7","64,587.2","62,923.9","40.51K","0.18%"
"05/04/2024","63,888.3","62,887.1","64,466.0","62,599.1","53.03K","1.61%"
"05/03/2024","62,877.5","59,104.3","63,298.4","58,830.8","100.46K","6.35%"
"05/02/2024","59,121.3","58,334.9","59,548.0","56,989.8","98.06K","1.35%"
"05/01/2024","58,331.2","60,665.0","60,827.5","56,643.5","171.55K","-3.85%"
"04/30/2024","60,666.6","63,852.4","64,700.2","59,228.7","121.04K","-5.00%"
"04/29/2024","63,860.1","63,113.7","64,193.1","61,837.2","67.26K","1.19%"
"04/28/2024","63,109.7","63,457.9","64,346.1","62,827.8","36.65K","-0.55%"
"04/27/2024","63,456.8","63,765.8","63,916.7","62,507.7","45.34K","-0.49%"
"04/26/2024","63,766.4","64,497.1","64,771.3","63,354.9","61.60K","-1.13%"
"04/25/2024","64,497.1","64,287.1","65,247.5","62,889.2","80.77K","0.33%"
"04/24/2024","64,285.7","66,414.9","67,060.5","63,606.9","77.83K","-3.21%"
"04/23/2024","66,415.0","66,829.5","67,180.0","65,848.3","52.42K","-0.62%"
"04/22/2024","66,829.3","64,940.1","67,208.0","64,527.5","72.30K","2.91%"
"04/21/2024","64,940.2","64,942.1","65,680.6","64,267.5","42.02K","-0.03%"
"04/20/2024","64,961.1","63,817.6","65,375.6","63,131.7","49.33K","1.82%"
"04/19/2024","63,799.1","63,480.5","65,441.2","59,693.3","150.34K","0.50%"
"04/18/2024","63,481.4","61,278.9","64,092.4","60,822.3","97.38K","3.59%"
"04/17/2024","61,278.9","63,802.3","64,451.5","59,820.8","118.92K","-3.96%"
"04/16/2024","63,805.3","63,416.1","64,274.4","61,715.6","114.96K","0.62%"
"04/15/2024","63,411.9","65,696.6","66,805.1","62,379.5","118.79K","-3.48%"
"04/14/2024","65,697.4","63,909.5","65,758.2","62,174.7","134.40K","2.89%"
"04/13/2024","63,849.9","67,137.4","67,921.0","61,065.5","149.48K","-4.92%"
"04/12/2024","67,151.9","70,014.9","71,226.9","65,829.3","131.84K","-4.08%"
"04/11/2024","70,011.6","70,620.4","71,249.2","69,586.1","72.51K","-0.86%"